start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Moffat St & Bushwick,Fulton St & Utica Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Madison Av & E 51 St,W 55 St & 6 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Amsterdam Ave & W 82 St,W 84 St & Columbus Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Devoe St & Lorimer St,Nassau Ave & Newell St,member,2022-01-01,11.6,1,1,Saturday,winter
8 Ave & W 52 St,Lafayette St & E 8 St,member,2022-01-01,11.6,1,1,Saturday,winter
Clermont Ave & Park Ave,Washington Ave & Greene Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Berry St & N 8 St,E 25 St & 1 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Steinway St & 28 Ave,31 Ave & 30 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 97 St & 3 Ave,E 97 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Sedgwick Ave & W Burnside Ave,Sedgwick Ave & W Burnside Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Fulton St & Pearl St,St James Pl & Oliver St,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & Moylan Pl,Cathedral Pkwy & Broadway,member,2022-01-01,11.6,1,1,Saturday,winter
W 52 St & 11 Ave,W 87 St & West End Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
E 58 St & Madison Ave,W 55 St & 6 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 88 St & 1 Ave,E 51 St & 2 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Centre St & Chambers St,Cadman Plaza E & Tillary St,casual,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 103 St,Central Park North & Adam Clayton Powell Blvd,member,2022-01-01,11.6,1,1,Saturday,winter
St Johns Pl & Washington Ave,4 Ave & 9 St,member,2022-01-01,11.6,1,1,Saturday,winter
Forsyth St & Broome St,Pike St & E Broadway,member,2022-01-01,11.6,1,1,Saturday,winter
Central Park North & Adam Clayton Powell Blvd,5 Ave & E 103 St,member,2022-01-01,11.6,1,1,Saturday,winter
E 75 St & 3 Ave,E 13 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
West End Ave & W 78 St,West End Ave & W 107 St,member,2022-01-01,11.6,1,1,Saturday,winter
Marcus Garvey Blvd & Macon St,Fulton St & Utica Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Vesey Pl & River Terrace,Canal St & Rutgers St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 67 St & Park Ave,E 66 St & Madison Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 12 St & Ave C,E 9 St & 5 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Audobon Ave & W 179 St,Riverside Dr & W 82 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 45 St & 3 Ave,E 47 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 156 & Brook Ave,E 155 St & Courtlandt Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Clinton St & Union St,Bergen St & 4 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
W 82 St & Central Park West,Central Park W & W 91 St,member,2022-01-01,11.6,1,1,Saturday,winter
Pike St & Monroe St,Allen St & Hester St,casual,2022-01-01,11.6,1,1,Saturday,winter
W 37 St & 10 Ave,11 Ave & W 41 St,member,2022-01-01,11.6,1,1,Saturday,winter
E 2 St & Avenue B,Christopher St & Greenwich St,member,2022-01-01,11.6,1,1,Saturday,winter
W 84 St & Broadway,6 Ave & W 45 St,member,2022-01-01,11.6,1,1,Saturday,winter
Dean St & Hoyt St,Atlantic Ave & Furman St,casual,2022-01-01,11.6,1,1,Saturday,winter
Forsyth St & Canal St,E 63 St & 3 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Riverside Dr & W 91 St,Riverside Dr & W 91 St,member,2022-01-01,11.6,1,1,Saturday,winter
E 40 St & Park Ave,6 Ave & W 34 St,member,2022-01-01,11.6,1,1,Saturday,winter
Greenwich Ave & Charles St,Cleveland Pl & Spring St,member,2022-01-01,11.6,1,1,Saturday,winter
W 90 St & Amsterdam Ave,Cathedral Pkwy & Broadway,casual,2022-01-01,11.6,1,1,Saturday,winter
Graham Ave & Grand St,Grand St & Havemeyer St,member,2022-01-01,11.6,1,1,Saturday,winter
Pearl St & Hanover Square,6 Ave & Canal St,member,2022-01-01,11.6,1,1,Saturday,winter
Wythe Ave & Metropolitan Ave,4 Ave & 9 St,member,2022-01-01,11.6,1,1,Saturday,winter
6 Ave & W 34 St,Centre St & Chambers St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 33 St & 1 Ave,E 39 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
